Description	ID	>AT	>Cc	>So
Organisms_order_>AT_>Cc_>So	991	0	0	1
Organisms_order_>AT_>Cc_>So	994	0	0	1
Organisms_order_>AT_>Cc_>So	995	1	1	1
Organisms_order_>AT_>Cc_>So	999	0	1	1
Organisms_order_>AT_>Cc_>So	1001	0	1	1
Organisms_order_>AT_>Cc_>So	1006	2	1	1
Organisms_order_>AT_>Cc_>So	1008	2	1	1
Organisms_order_>AT_>Cc_>So	1009	0	1	1
Organisms_order_>AT_>Cc_>So	1013	0	0	2
Organisms_order_>AT_>Cc_>So	1015	0	1	0
Organisms_order_>AT_>Cc_>So	1017	1	0	0
Organisms_order_>AT_>Cc_>So	1021	14	12	7
Organisms_order_>AT_>Cc_>So	1028	0	1	0
Organisms_order_>AT_>Cc_>So	1032	0	1	0
Organisms_order_>AT_>Cc_>So	1033	0	1	1
Organisms_order_>AT_>Cc_>So	1041	0	0	1
Organisms_order_>AT_>Cc_>So	1046	1	0	0
Organisms_order_>AT_>Cc_>So	1049	1	0	0
Organisms_order_>AT_>Cc_>So	1050	1	0	0
Organisms_order_>AT_>Cc_>So	1053	1	2	0
Organisms_order_>AT_>Cc_>So	1054	0	0	1
Organisms_order_>AT_>Cc_>So	1055	2	1	1
Organisms_order_>AT_>Cc_>So	1062	0	1	0
Organisms_order_>AT_>Cc_>So	1063	1	1	1
Organisms_order_>AT_>Cc_>So	1064	1	0	0
Organisms_order_>AT_>Cc_>So	1065	3	0	1
Organisms_order_>AT_>Cc_>So	1066	2	0	1
Organisms_order_>AT_>Cc_>So	1068	0	0	2
Organisms_order_>AT_>Cc_>So	1069	0	1	0
Organisms_order_>AT_>Cc_>So	1070	0	1	0
Organisms_order_>AT_>Cc_>So	1071	2	0	1
Organisms_order_>AT_>Cc_>So	1073	1	1	1
Organisms_order_>AT_>Cc_>So	1075	2	0	0
Organisms_order_>AT_>Cc_>So	1082	0	1	0
Organisms_order_>AT_>Cc_>So	1088	0	1	1
Organisms_order_>AT_>Cc_>So	1096	2	1	1
Organisms_order_>AT_>Cc_>So	1098	1	0	0
Organisms_order_>AT_>Cc_>So	1099	0	0	1
Organisms_order_>AT_>Cc_>So	1100	0	0	1
Organisms_order_>AT_>Cc_>So	1102	6	4	6
Organisms_order_>AT_>Cc_>So	1103	1	1	1
Organisms_order_>AT_>Cc_>So	1107	1	0	0
Organisms_order_>AT_>Cc_>So	1109	4	1	0
Organisms_order_>AT_>Cc_>So	1115	0	0	1
Organisms_order_>AT_>Cc_>So	1121	3	0	0
Organisms_order_>AT_>Cc_>So	1123	0	0	1
Organisms_order_>AT_>Cc_>So	1126	2	1	0
Organisms_order_>AT_>Cc_>So	1127	1	1	1
Organisms_order_>AT_>Cc_>So	1128	1	1	0
Organisms_order_>AT_>Cc_>So	1129	0	1	0
Organisms_order_>AT_>Cc_>So	1131	1	1	0
Organisms_order_>AT_>Cc_>So	1134	0	1	0
Organisms_order_>AT_>Cc_>So	1135	2	1	2
Organisms_order_>AT_>Cc_>So	1136	0	1	1
Organisms_order_>AT_>Cc_>So	1142	1	0	0
Organisms_order_>AT_>Cc_>So	1145	0	0	1
Organisms_order_>AT_>Cc_>So	1147	1	2	1
Organisms_order_>AT_>Cc_>So	1148	1	1	1
Organisms_order_>AT_>Cc_>So	1149	2	0	0
Organisms_order_>AT_>Cc_>So	1150	2	0	2
Organisms_order_>AT_>Cc_>So	1155	1	0	0
Organisms_order_>AT_>Cc_>So	1157	0	0	1
Organisms_order_>AT_>Cc_>So	1162	1	1	1
Organisms_order_>AT_>Cc_>So	1164	0	1	0
Organisms_order_>AT_>Cc_>So	1166	1	0	0
Organisms_order_>AT_>Cc_>So	1167	0	0	1
Organisms_order_>AT_>Cc_>So	1169	0	1	0
Organisms_order_>AT_>Cc_>So	1173	0	1	0
Organisms_order_>AT_>Cc_>So	1176	1	0	0
Organisms_order_>AT_>Cc_>So	1177	0	1	1
Organisms_order_>AT_>Cc_>So	1178	0	1	0
Organisms_order_>AT_>Cc_>So	1179	0	1	0
Organisms_order_>AT_>Cc_>So	1180	1	1	0
Organisms_order_>AT_>Cc_>So	1181	1	0	0
Organisms_order_>AT_>Cc_>So	1187	3	1	1
Organisms_order_>AT_>Cc_>So	1191	0	0	1
Organisms_order_>AT_>Cc_>So	1192	0	5	1
Organisms_order_>AT_>Cc_>So	1193	1	1	2
Organisms_order_>AT_>Cc_>So	1194	0	0	1
Organisms_order_>AT_>Cc_>So	1195	2	1	1
Organisms_order_>AT_>Cc_>So	1197	0	1	1
Organisms_order_>AT_>Cc_>So	1200	0	15	0
Organisms_order_>AT_>Cc_>So	1201	0	1	0
Organisms_order_>AT_>Cc_>So	1202	0	1	0
Organisms_order_>AT_>Cc_>So	1203	1	0	0
Organisms_order_>AT_>Cc_>So	1204	0	0	1
Organisms_order_>AT_>Cc_>So	1207	0	1	0
Organisms_order_>AT_>Cc_>So	1209	2	0	0
Organisms_order_>AT_>Cc_>So	1210	1	1	1
Organisms_order_>AT_>Cc_>So	1216	0	1	0
Organisms_order_>AT_>Cc_>So	1217	0	1	0
Organisms_order_>AT_>Cc_>So	1220	2	0	0
Organisms_order_>AT_>Cc_>So	1223	0	1	0
Organisms_order_>AT_>Cc_>So	1224	0	1	1
Organisms_order_>AT_>Cc_>So	1225	1	1	1
Organisms_order_>AT_>Cc_>So	1227	0	0	1
Organisms_order_>AT_>Cc_>So	1228	1	1	1
Organisms_order_>AT_>Cc_>So	1229	0	1	0
Organisms_order_>AT_>Cc_>So	1233	1	0	0
Organisms_order_>AT_>Cc_>So	1234	0	0	1
Organisms_order_>AT_>Cc_>So	1235	0	0	1
Organisms_order_>AT_>Cc_>So	1237	0	5	0
Organisms_order_>AT_>Cc_>So	1240	0	0	1
Organisms_order_>AT_>Cc_>So	1243	2	2	3
Organisms_order_>AT_>Cc_>So	1244	0	1	1
Organisms_order_>AT_>Cc_>So	1248	0	0	5
Organisms_order_>AT_>Cc_>So	1254	2	1	1
Organisms_order_>AT_>Cc_>So	1255	1	0	0
Organisms_order_>AT_>Cc_>So	1258	0	0	1
Organisms_order_>AT_>Cc_>So	1261	1	0	0
Organisms_order_>AT_>Cc_>So	1265	2	1	1
Organisms_order_>AT_>Cc_>So	1268	0	0	1
Organisms_order_>AT_>Cc_>So	1269	4	1	2
Organisms_order_>AT_>Cc_>So	1270	1	0	0
Organisms_order_>AT_>Cc_>So	1271	1	1	1
Organisms_order_>AT_>Cc_>So	1272	2	2	1
Organisms_order_>AT_>Cc_>So	1273	2	1	1
